Vote ID,Session ID,Wikisurvey ID,Winner ID,Winner Text,Loser ID,Loser Text,Prompt ID,Appearance ID,Left Choice ID,Right Choice ID,Created at,Updated at,Response Time (s),Missing Response Time Explanation,Valid,Hashed IP Address,URL Alias,User Agent,Referrer,Widget,Info
20068871,5181141,12953,763137,Lewis,763139,Arthur,28543552,27015727,763139,763137,2018-06-22 16:43:04 UTC,2018-06-22 16:43:04 UTC,7.925,"",TRUE,8cd162d8a15789e6f0da07c9fb03deeb,footebaby,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36",DIRECT_VISIT,FALSE,NA
20068872,5181140,12953,763139,Arthur,763137,Lewis,28543552,27015726,763139,763137,2018-06-22 16:43:07 UTC,2018-06-22 16:43:07 UTC,12.617,"",TRUE,7b4010a454f7ac3ba37a4468b07fbffe,footebaby,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",DIRECT_VISIT,FALSE,NA
20068873,5181140,12953,763138,Daniel,763137,Lewis,28543550,27015729,763138,763137,2018-06-22 16:43:09 UTC,2018-06-22 16:43:09 UTC,2.01,"",TRUE,7b4010a454f7ac3ba37a4468b07fbffe,footebaby,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",DIRECT_VISIT,FALSE,NA
20068874,5181141,12953,763138,Daniel,763139,Arthur,28543553,27015728,763138,763139,2018-06-22 16:43:10 UTC,2018-06-22 16:43:10 UTC,5.67,"",TRUE,8cd162d8a15789e6f0da07c9fb03deeb,footebaby,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36",DIRECT_VISIT,FALSE,NA
20068875,5181141,12953,763138,Daniel,763139,Arthur,28543554,27015731,763139,763138,2018-06-22 16:43:12 UTC,2018-06-22 16:43:12 UTC,2.743,"",TRUE,8cd162d8a15789e6f0da07c9fb03deeb,footebaby,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36",DIRECT_VISIT,FALSE,NA
20068876,5181140,12953,763138,Daniel,763139,Arthur,28543554,27015730,763139,763138,2018-06-22 16:43:14 UTC,2018-06-22 16:43:14 UTC,4.691,"",TRUE,7b4010a454f7ac3ba37a4468b07fbffe,footebaby,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",DIRECT_VISIT,FALSE,NA
20068877,5181141,12953,763137,Lewis,763138,Daniel,28543550,27015732,763138,763137,2018-06-22 16:43:14 UTC,2018-06-22 16:43:14 UTC,1.285,"",TRUE,8cd162d8a15789e6f0da07c9fb03deeb,footebaby,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36",DIRECT_VISIT,FALSE,NA
20068878,5181141,12953,763137,Lewis,763139,Arthur,28543551,27015734,763137,763139,2018-06-22 16:43:16 UTC,2018-06-22 16:43:16 UTC,1.992,"",TRUE,8cd162d8a15789e6f0da07c9fb03deeb,footebaby,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36",DIRECT_VISIT,FALSE,NA
20068879,5181141,12953,763137,Lewis,763138,Daniel,28543555,27015735,763137,763138,2018-06-22 16:43:17 UTC,2018-06-22 16:43:17 UTC,0.972,"",TRUE,8cd162d8a15789e6f0da07c9fb03deeb,footebaby,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36",DIRECT_VISIT,FALSE,NA
20068880,5181141,12953,763138,Daniel,763139,Arthur,28543554,27015736,763139,763138,2018-06-22 16:43:18 UTC,2018-06-22 16:43:18 UTC,1.42,"",TRUE,8cd162d8a15789e6f0da07c9fb03deeb,footebaby,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36",DIRECT_VISIT,FALSE,NA
